path,tensor_name,timestep,saliency_mass,l2,l1,max,mean,var
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,594,4.9054623e-05,1.7285347e-06,4.9054623e-05,1.1920929e-07,2.9940566e-09,1.7340902e-16
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,872,0.0011583567,1.6168138e-05,0.0011583567,1.5497208e-06,7.070048e-08,1.095723e-14
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,813,0.0010855198,3.2780605e-05,0.0010855198,1.5437603e-05,6.625487e-08,6.1200455e-14
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,1000,0.15466309,0.0012598038,0.15466309,3.0219555e-05,9.417534e-06,0.0
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,800,0.00051379204,8.331442e-06,0.00051379204,7.748604e-07,3.1359377e-08,3.2534165e-15
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,758,0.00031018257,5.731971e-06,0.00031018257,5.9604645e-07,1.8932042e-08,1.6470186e-15
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,710,0.00017619133,3.757457e-06,0.00017619133,3.5762787e-07,1.0753865e-08,7.461238e-16
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,912,0.0026078224,4.557546e-05,0.0026078224,8.404255e-06,1.5916885e-07,1.0144897e-13
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,406,3.5762787e-07,1.4600097e-07,3.5762787e-07,5.9604645e-08,2.1827873e-11,1.3006456e-18
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,693,0.00013464689,3.063122e-06,0.00013464689,2.3841858e-07,8.218194e-09,5.051677e-16
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,496,6.3180923e-06,6.637292e-07,6.3180923e-06,2.3841858e-07,3.8562575e-10,2.674114e-17
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,902,0.0026342869,6.0309594e-05,0.0026342869,2.0682814e-05,1.6078411e-07,1.9616039e-13
